channelId,channelTitle,videoId,weight,videoCount
UCodu8e6VMhqL_l8Q2MNpdTQ,Jason Hermann,"WLQK9dPMz6M,AsTySS6WxJA,Vt3g42Y56jI,Vt3g42Y56jI,0jBS1oUYsbU,gr9Qiawr_mM,-lfmsGiQl5Y,HKi4cROY4gI,C15zrxXL3v8,r4AwPaeMdTY,mpqf4N5IJvE,7WZ68sCYuJA,gr9Qiawr_mM,S0TqJQe2pfw,bYLSe_Zvees,q57UXSqkoYo,U-WV0g0rqNI,F_DXXrcWRv8,b2SDQcZ8Qys,XzX7xjRjxgs,kfYp_t9P490,7h4D184s2q0,B2a0fs9brAE",0.970299,23
UCTsvuq1quT9ZC_-uac6dc4Q,Faizal Westcott,"O5oAxxzTG34,O5oAxxzTG34,O5oAxxzTG34,PwBoAsZvfd0,U8PiORDtscU,sWV39uACPeo,w-gYVElRGi4,rnCuLfwv7zk,fKvWSJgFgDg,o-SZW9dGV6o,26lDduchvdY,LSE4gxy7S8o,JxFhmFuF_UQ,JxFhmFuF_UQ",0.970299,14
UCuHSzVUbgpf-L64g31ea_hw,Life Through Optics,"38746PETR7U,V-TgJfCfVC4,-ps1vygCF8k,YtqfoppzURI,2niVDEcaUlM,YtqfoppzURI,VW4Mm1XjCqQ,wxHFaUvWUec,YtqfoppzURI",0.96059601,9
UC3DkFux8Iv-aYnTRWzwaiBA,Peter McKinnon,"fOT-tjPAS8w,ixRKeQMa7Nc,ixRKeQMa7Nc,_GFlR5e1ueY,ixRKeQMa7Nc",0.96059601,5
UCKDT0SRO5w5H4t2qtNNbFdw,Brock Wunder,"IM8xW9ULZxA,IM8xW9ULZxA,HsOkF1X2ZGs,v_FpXrnYfmE,4FXUoYDUTxU,HsOkF1X2ZGs",0.96059601,6
UCdp6GUwjKscp5ST4M4WgIpw,TechWiser,HqxffqEDVBg,0.96059601,1
UCGuIM34mGnfTDjfd9vwPtAQ,Mark Wiemels,"7H5p8VO1GGA,7H5p8VO1GGA,7H5p8VO1GGA,7H5p8VO1GGA,Y1IfZYirBKo,Y1IfZYirBKo,7H5p8VO1GGA,3N00SrpBL8k,7H5p8VO1GGA",0.9509900498999999,9
UC6OICk-ceplUJf4sCN3DMnQ,Tyler Stalman,"fsd2NUfJkNw,-ChgAwivT-Q,F5zDzVQ43XA",0.9509900498999999,3
UC3R5ehQRUHvhJ7rL1eu0AeQ,Manny Ortiz,"aEOAhVsQklY,MZqsS60CI1I,SddwF3iwldo,MZqsS60CI1I,SddwF3iwldo,lNzG6MzmoYA,yWx1S0PYMu0,sSQZuhTSnnM,-tVFu9v7hYw,3Lp9CXTvrVI,jr-5Q2LDafg,uMwGVYU_eq0,8oSRQ7DCLJk,puBHrY_HmQw,SddwF3iwldo",0.9509900498999999,15
UCeRR3gl2xCB68ZO7O_z7cmA,Kunal Malhotra,"h1P_17uQESQ,UPYkHvqkao8,fIdeDKeA2QI,xJMeVYIz-BE,C4ygAWbIrF4,tnTwhgI8d5w,2RQe3gg_7vk,39XJ5YYE7vg,FmmnzIgUHi0,9BudzD-7__s,86zlCZhaoR0,OAh2U3JApw8,rzQxvVmMpeg,dkNzvPo3QmI,dkNzvPo3QmI,86zlCZhaoR0,jxle7RtiL_E,gpKeBwwYRYo,UnHvzTfnuSw,B1CfV7HQohg,B1CfV7HQohg,bqrDMyEsVTc,FmmnzIgUHi0,0hOKxQW-PIk,T9VjPOeuykM,noD2u8zQaww,86zlCZhaoR0,UnHvzTfnuSw,FmmnzIgUHi0,UEhp8BAm3rg,86zlCZhaoR0,di81YkeaiKw,2daAqztgyZQ,OAh2U3JApw8,wlanu34QAbg,sR4qzgZr2WE,XCqo4h3TYaQ,bqrDMyEsVTc,g4j6aBTyvXc,0hOKxQW-PIk,86zlCZhaoR0,OAh2U3JApw8",0.9509900498999999,42
UC_43mQmHwHPTBBqImFrWU3Q,Sean Tucker,"gGngRlWHmZw,F1Vi0fqHunw,2e8whtt8I5I,LUtlZ3sahz8,VOf9KhbJoVc,xpq0Bhcc_vA,-YulGAhQoVA,upxY8U1XPB0",0.9509900498999999,8
UC8Pksdbj37CdE00kmE7Z1dw,Adorama,"UfN9JPUV7NI,dXf204AjPqk,_Ujf-x4XfNs,E8Er3TaZg7w,VE57iy7ds7Q,3Co9qZHhU7U,b-s_au7OvDU,WHh0D1IQSjg,kdebrIZadIE,9u4XgIljKHE,nd5AOF9DVKA,pRyj5DgmEIo,npP7T4Ub9Tg,C3s_QUfT9AY,bWy5uHLuQDk,ZncUFi3kzp0,x_ftx1nnyBs,vHNwFELqxr8,kS_4y7Ap15k,kOEaxnQ0t7Y,AsipMm7E5iU,USZzCZi9ZR4,VE57iy7ds7Q,iY4ylum6prc,4VA6Y7ub6UE,88ekW-M7o48,89ZHtI0dsnc,_avgjZ2BsvM,RaTwd8b79Ao,89ZHtI0dsnc,_avgjZ2BsvM,RaTwd8b79Ao,E8Er3TaZg7w,M3esC7pjmFc,_sMNd1s6Bds,9u4XgIljKHE",0.9509900498999999,36
UCmCNenalzQqqDBg0hYFN6Aw,Jeff Rojas (SAJORFFEJ),"5PzzHo1VFFA,5PzzHo1VFFA,o-O5R8p3PRg",0.941480149401,3
UCn4dgFuFd7j9m4iVM1L0BXQ,Albert Dros,HADcZUZTlZs,0.941480149401,1
UCFzegJR4D8LAIhyboaIWVpg,Hyun Ralph Jeong,"uyXiWF3mI2s,uyXiWF3mI2s,tyVrCznvNXM,iQY1JRyIaxI,tyVrCznvNXM,uyXiWF3mI2s",0.941480149401,6
